Dates,portfolio_returns,baseline_returns,djia_returns,SXXP Index_returns,MXEU Index_returns
2018-03-09,-0.0831457155456543,0.18643591,0.23301715,0.000317359568390999,-0.0018801410105758643
2018-03-12,-0.08337031232452392,0.1849244,0.22537005,0.002856236115518841,0.0006267136701919177
2018-03-13,-0.09436113381958008,0.17738405,0.21701974,-0.006955463873902452,-0.009322365844105068
2018-03-14,-0.09201753422546387,0.17064407,0.204906,-0.008410028562361173,-0.010732471602036855
2018-03-15,-0.09780254478454589,0.16972873,0.21052906,-0.0032793822067068894,-0.005718762240501402
2018-03-16,-0.09332322709655762,0.1717213,0.21407443,-0.0010843118586692717,-0.0031335683509597
2018-03-19,-0.08334165794372558,0.15507793,0.19774178,-0.011742304030466513,-0.014179396788092458
2018-03-20,-0.09151823532104492,0.15678953,0.20340465,-0.006743890828308503,-0.008930669800235021
2018-03-21,-0.0850933666229248,0.15465643,0.20121662,-0.008357135300962723,-0.010419114766940952
2018-03-22,-0.09064948175048829,0.12560193,0.1659612,-0.02372262773722635,-0.02561692126909526
2018-03-23,-0.09362637350463868,0.10200157,0.1452927,-0.0325293557600762,-0.03454759106933028
2018-03-26,-0.08764923666381835,0.1319289,0.17787048,-0.03951126626467787,-0.041206423815119506
2018-03-27,-0.08331315859985351,0.11237336,0.16108574,-0.027901195387707637,-0.02953388170779483
2018-03-28,-0.08720625222778321,0.109128945,0.16063358,-0.023431714799534577,-0.02483352918135528
2018-03-29,-0.08471134394836426,0.12440134,0.17302857,-0.019173807256955465,-0.02068155111633373
2018-03-30,-0.09445446659851074,0.12440134,0.17302857,-0.019173807256955465,-0.02068155111633373
2018-04-02,-0.09643383383178711,0.09928511,0.15069427,-0.019173807256955465,-0.020368194281237824
2018-04-03,-0.08580787329101562,0.113152444,0.16963404,-0.023934200782820297,-0.025303564433999247
2018-04-04,-0.06311138954162597,0.1260277,0.18087329,-0.028535914524489635,-0.029455542499020798
2018-04-05,-0.07668988694763183,0.13375548,0.19259816,-0.005262879509150558,-0.005953779866823385
2018-04-06,-0.07293599137878418,0.108903274,0.16473815,-0.008727388130752172,-0.00947904426165302
2018-04-09,-0.07121889836883545,0.11260319,0.16699338,-0.0074579498571881765,-0.008225616921269184
2018-04-10,-0.0886854543838501,0.13121365,0.18786672,0.0007933989209774976,0.00015667841754795158
2018-04-11,-0.08829518682861329,0.12496328,0.17723049,-0.005130646355654284,-0.0057971014492754335
2018-04-12,-0.08466575469970704,0.13424507,0.19151923,0.001851264148947394,0.0007050528789658378
2018-04-13,-0.09436985447692871,0.13097093,0.18553755,0.002856236115518841,0.00164512338425377
2018-04-16,-0.0949119688873291,0.14014202,0.1958987,-0.0010049719665714467,-0.0023501762632198303
2018-04-17,-0.09572716017150878,0.15229765,0.20629358,0.007008357135300902,0.005875440658049354
2018-04-18,-0.09579232814025879,0.15325563,0.20441696,0.009891039881519119,0.00885233059146099
2018-04-19,-0.10325498735046387,0.14665194,0.20036884,0.010129059557812292,0.009009009009009052
2018-04-20,-0.1108297413482666,0.13686351,0.19054046,0.009838146620120518,0.00893066980023491
2018-04-23,-0.12575929170227051,0.13692744,0.18984696,0.013381995133819958,0.012299255777516593
2018-04-24,-0.1259620209503174,0.12171471,0.16918492,0.013196868718925232,0.012534273403838576
2018-04-25,-0.1261621145477295,0.12377537,0.1720903,0.005421559293346058,0.004857030943987501
2018-04-26,-0.12846838734436036,0.13550107,0.1836979,0.014889453083677128,0.014179396788092458
2018-04-27,-0.12776160729980468,0.1367656,0.18315522,0.017243203215910243,0.01676459067763405
2018-04-30,-0.12567994651031494,0.12745833,0.1759506,0.019041574103459188,0.018723070896983832
2018-05-01,-0.1253618341140747,0.13033228,0.17283106,0.018274621813180916,0.017547982765373917
2018-05-02,-0.10831828273773193,0.12218726,0.16435955,0.02464825981169997,0.023815119467293318
2018-05-03,-0.10262259767150879,0.11965821,0.16461116,0.017190309954511793,0.01598119858989418
2018-05-04,-0.10617943424224853,0.13400236,0.18078613,0.023563947953030698,0.022953388170779528
2018-05-07,-0.10655943953704834,0.13792367,0.18540029,0.03012271236644448,0.029142185663924784
2018-05-08,-0.10305181188964843,0.13762139,0.18554096,0.0314185972707077,0.030238934586760555
2018-05-09,-0.10796336674499511,0.14863609,0.19441435,0.03787157516132443,0.03713278495887176
2018-05-10,-0.125090046295166,0.15939955,0.2040013,0.03662858351845981,0.03587935761848793
2018-05-11,-0.1214224532775879,0.16137934,0.20846118,0.03776578863852738,0.036976106541323925
2018-05-14,-0.1214224532775879,0.1624054,0.21178223,0.03721040939384321,0.03713278495887176
2018-05-15,-0.1206095950088501,0.15445207,0.20238948,0.03768644874642971,0.03783783783783771
2018-05-16,-0.12411152350616456,0.15913978,0.20543212,0.03990796572516655,0.03995299647473556
2018-05-17,-0.12597285946655273,0.15814771,0.20275791,0.04673119644557287,0.04661182922052478
2018-05-18,-0.1280312391357422,0.15509924,0.2028119,0.043769173807256985,0.04379161770466121
2018-05-21,-0.12864973030090332,0.16363168,0.21732439,0.046942769491166825,0.04716020368194267
2018-05-22,-0.12875763591003417,0.1599828,0.20861886,0.04977255897598644,0.04966705836271056
2018-05-23,-0.12791288336181642,0.1637509,0.21116905,0.03824182799111388,0.03768115942028987
2018-05-24,-0.1254657618408203,0.16139638,0.20751654,0.032846715328467196,0.03172737955346638
2018-05-25,-0.1267023750076294,0.15865871,0.20466125,0.03427483338622654,0.03290246768507629
2018-05-28,-0.12337322345733642,0.15865871,0.20466125,0.0309425579181212,0.02976889933411659
2018-05-29,-0.12353603141021728,0.14525977,0.18560123,0.01679361049402312,0.0160595377986681
2018-05-30,-0.1168312752609253,0.15979975,0.20050943,0.019491166825346462,0.018958088523305817
2018-05-31,-0.11463126287078858,0.15182084,0.18824826,0.013064635565428959,0.012220916568742673
2018-06-01,-0.11700161852264404,0.1643172,0.19892442,0.02324658838463985,0.021934978456717453
2018-06-04,-0.11217958078002929,0.16953288,0.20761046,0.02642018406854969,0.02491186839012931
2018-06-05,-0.11197098167419434,0.17035459,0.20694327,0.02319369512324125,0.02162162162162155
2018-06-06,-0.10180782582092285,0.18038148,0.22380206,0.023167248492542026,0.021229925577751725
2018-06-07,-0.1050363677368164,0.17953846,0.22842638,0.020681265206812634,0.018958088523305817
2018-06-08,-0.10560307986450196,0.18322559,0.23208222,0.018512641489474242,0.01692126909518211
2018-06-11,-0.10552906945800782,0.1844901,0.23236357,0.025970591346662415,0.024285154719937283
2018-06-12,-0.1192896195526123,0.18655513,0.23228668,0.024886279487993147,0.022875048962005384
2018-06-13,-0.11759761167907715,0.18177791,0.22646943,0.02679043689833914,0.024520172346259268
2018-06-14,-0.11576702719116211,0.18469873,0.2252095,0.03945837300327942,0.0372111241676459
2018-06-15,-0.11524655926513672,0.18349376,0.22108106,0.02911774039987303,0.02702702702702694
2018-06-18,-0.12196507478332519,0.18097751,0.21606788,0.02060192531471496,0.018566392479435992
2018-06-19,-0.12260168534851074,0.17622596,0.20208777,0.013461335025917632,0.011594202898550643
2018-06-20,-0.1287737975921631,0.17823984,0.2000238,0.016317571141436622,0.014101057579318314
2018-06-21,-0.12478465479278565,0.17076331,0.19048011,0.007219930180895002,0.005170387779083404
2018-06-22,-0.13287912300872803,0.17294319,0.1962808,0.018221728551782466,0.016372894633764224
2018-06-25,-0.13558291536712647,0.15684494,0.18031362,-0.002829789484819616,-0.005170387779083516
2018-06-26,-0.13862148174285888,0.15939529,0.18178865,-0.002300856870834668,-0.004308656482569615
2018-06-27,-0.13751090139007568,0.14941944,0.1737333,0.00489262667936111,0.0034469251860556028
2018-06-28,-0.12735146619415283,0.15652135,0.1785251,-0.0033058288374061143,-0.004151978065021552
2018-06-29,-0.13778120565032959,0.15739846,0.1812193,0.00478684015656406,0.0033685859772816826
2018-07-02,-0.12441675881195069,0.1609493,0.1829601,-0.0036231884057971136,-0.00477869173521347
2018-07-03,-0.12456175911712647,0.15520568,0.17651854,0.004469480588173061,0.00329024676850754
2018-07-04,-0.11877193647003174,0.15520568,0.17651854,0.005104199724955059,0.003995299647473489
2018-07-05,-0.10914605243682861,0.16516449,0.18537205,0.009176980852639295,0.008225616921268962
2018-07-06,-0.11262668315887452,0.17504658,0.19022612,0.011213371416481564,0.010262436349392888
2018-07-09,-0.11426356610107422,0.18541399,0.20580491,0.01711097006241397,0.016294555424990084
2018-07-10,-0.11829986319732666,0.18953125,0.21276774,0.021501110758489355,0.02075989032510776
2018-07-11,-0.12446392143249511,0.18109247,0.20209938,0.008674494869353571,0.007677242459851075
2018-07-12,-0.12217723723602295,0.1914259,0.21302229,0.01652914418703057,0.015432824128476293
2018-07-13,-0.11042478063201905,0.19271174,0.21762228,0.018274621813180916,0.01731296513905216
2018-07-16,-0.11136484757232666,0.19148546,0.21980983,0.015682852004654625,0.013944379161770474
2018-07-17,-0.11123485380554199,0.19622007,0.22251238,0.018142388659684792,0.016451233842538146
2018-07-18,-0.11173763484191894,0.19880451,0.22637647,0.023643287845128525,0.022248335291813578
2018-07-19,-0.1286661473236084,0.19406566,0.21981667,0.02131598434359463,0.02021151586368965
2018-07-20,-0.12267562913513183,0.19293314,0.21950614,0.019834973024436688,0.018566392479435992
2018-07-23,-0.11709899166107178,0.19512582,0.21883307,0.017877922352692244,0.01676459067763405
2018-07-24,-0.11775410116577148,0.20083961,0.22845215,0.026605310483444417,0.025381903642773054
2018-07-25,-0.11749404559326172,0.21176918,0.23683068,0.023934200782820297,0.022640031335683403
2018-07-26,-0.11973529522705079,0.20809473,0.24232863,0.03282026869776782,0.030630630630630602
2018-07-27,-0.12153931949615479,0.20016696,0.23862946,0.03691949645615143,0.03486094790442607
2018-07-30,-0.11372546460723877,0.193261,0.23161018,0.033851687295038645,0.03180571876224052
2018-07-31,-0.10190657523345947,0.19908975,0.23688371,0.03567650481328681,0.03407755581668621
